rec_id,t_id,term_id,term_devanagari,term_iast,wordtree,parent_id,def_id,w_trans,w_def,refn,sys_id
10443,33,AAB-17,उदावर्तः (कॆवलवात),udāvartaḥ (kevalavāta),udAvartaH (kEvalavAta),16,0,obstipation (due only to vātadōṣha),,Ca.Su.20/11; Ca.Ci.26/6-10; Su.U.55/1; Ah.Su.4; Ma.Ni.27/1; Bp.Ma.30,1
10444,34,AAB-18,ऊरुस्तम्भः/आढ्यवातः (कॆवलवात),ūrustambhaḥ/āḍhyavātaḥ (kevalavāta),UrustamBaH/ADhyavAtaH (kEvalavAta),16,0,stiff thigh (due only to vātadōṣha),,Ca.Su.20/11;Ca.Ci.27/17-19; As. Ni.15/53; Ah.Ni.15/51; Ma.Ni.24/1-10; Sha.Pu.7/105,1
10445,35,AAB-19,ऊरुसादः (कॆवलवात),ūrusādaḥ (kevalavāta),UrusAdaH (kEvalavAta),16,0,thigh fatigue (due only to vātadōṣha),,Ca.Su.20/11,1
10446,36,AAB-20,एकाङ्गरोगः (कॆवलवात),ekāṅgarogaḥ (kevalavāta),ekA~ggarogaH (kEvalavAta),16,0,monoplegia (due only to vātadōṣha),,Ca.Su.20/11; Ca.Ci.28/53-55; Ah.Ni.15/37-40; Ma.Ni.22/41,1
10447,37,AAB-21,ओष्ठभेदः (कॆवलवात),oṣṭhabhedaḥ (kevalavāta),oShThaBedaH (kEvalavAta),16,0,cleft lip (due only to vātadōṣha),,Ca.Su.20/11,1
10448,38,AAB-22,कण्ठोध्वंसः (कॆवलवात),kaṇṭhodhvaṃsaḥ (kevalavāta),kaNThodhvaMsaH (kEvalavAta),16,0,hoarseness of voice (due only to vātadōṣha),,Ca.Su.20/11,1
10449,39,AAB-23,कर्णशूलः (कॆवलवात),karṇaśūlaḥ (kevalavāta),karNaSUlaH (kEvalavAta),16,0,earache/otalgia (due only to vātadōṣha),,Ca.Su.20/11; Su.Ni.1/84,1
10450,40,AAB-24,कम्पः/वेपथुः (कॆवलवात),kampaḥ/vepathuḥ (kevalavāta),kampaH/vepathuH (kEvalavAta),16,0,tremor (due only to vātadōṣha),,Ca.Su.20/11;Ca.Su.24/15; Ah.Su.11/6; Ma.Ni.22/74; Sha.Pu.7/112; Bp.Ma.23/217,1
10451,41,AAB-25,कषायास्यता (कॆवलवात),kaṣāyāsyatā (kevalavāta),kaShAyAsyatA (kEvalavAta),16,0,feeling of astringent taste (due only to vātadōṣha),,Ca.Su.20/11,1
10452,42,AAB-26,क्लमः (कॆवलवात),klamaḥ (kevalavāta),klamaH (kEvalavAta),16,0,fatigue without physical exertion/sense-fatigue (due only to vātadōṣha),,Ca.Su.24/14; Bp.Ma.18/21,1
10453,43,AAB-27,कार्ष्ण्यम् (कॆवलवात),kārṣṇyam (kevalavāta),kArShNyam (kEvalavAta),16,0,blackish discoloration (due only to vātadōṣha),,Ah.Su.11/6; Bp.Ma.23/217,1
10454,44,AAB-28,कुब्जत्वम् (कॆवलवात),kubjatvam (kevalavāta),kubjatvam (kEvalavAta),16,0,kyphosis/captocormia (due only to vātadōṣha),,Ca.Su.20/11; Ca.Ci.15/14; Ma.Ni.23/188,1
10455,45,AAB-29,कार्श्यम् (कॆवलवात),kārśyam (kevalavāta),kArSyam (kEvalavAta),16,0,emaciation (due only to vātadōṣha),,Bp.Ma.23/217,1
10456,46,AAB-30,केशभूमिस्फुटनम् (कॆवलवात),keśabhūmisphuṭanam (kevalavāta),keSaBUmisPuTanam (kEvalavAta),16,0,cracking of scalp (due only to vātadōṣha),,Ca.Su.20/11,1
10457,47,AAB-31,खञ्जः/खञ्जत्वम् (कॆवलवात),khañjaḥ/khañjatvam (kevalavāta),kha~jjaH/kha~jjatvam (kEvalavAta),16,0,lameness (unilateral) (due only to vātadōṣha),,Ca.Su.20/11; Ma.Ni.22/59-60; Bp.Ma.24/151,1
10458,48,AAB-32,गर्भनाशः (कॆवलवात),garbhanāśaḥ (kevalavāta),garBanASaH (kEvalavAta),16,0,foetal distress/foetal death (due only to vātadōṣha),,Ca.Ci.28/22; Ma.Ni. 22/7; Bp. Ma. 24/219,1
10459,49,AAB-33,ग्रीवास्तम्भः (कॆवलवात),grīvāstambhaḥ (kevalavāta),grIvAstamBaH (kEvalavAta),16,0,neck stiffness/torticollis/spasmodic torticollois (due only to vātadōṣha),,Ca.Su.20/11; Ca.Ci.28/22; Ma.Ni.22/8,1
10460,50,AAB-34,गुदभ्रंशः (कॆवलवात),gudabhraṃśaḥ (kevalavāta),gudaBraMSaH (kEvalavAta),16,0,rectal prolapse (due only to vātadōṣha),,Ca.Su.20/11; Su.Ni.13/61; Ma.Ni.55/54; Sha.Pu.7/93; Bp.Ma. 61/105,1
10461,51,AAB-35,गुदार्तिः (कॆवलवात),gudārtiḥ (kevalavāta),gudArtiH (kEvalavAta),16,0,anal pain/proctalgia (due only to vātadōṣha),,Ca.Su.20/11,1
10462,52,AAB-36,गुल्फ-ग्रहः (कॆवलवात),gulpha-grahaḥ (kevalavāta),gulPa-grahaH (kEvalavAta),16,0,stiff ankle (due only to vātadōṣha),,Ca.Su.20/11,1
10463,53,AAB-37,गृध्रसी (कॆवलवात),gṛdhrasī (kevalavāta),gRudhrasI (kEvalavAta),16,0,sciatica (due only to vātadōṣha),"the disorder is characterized by kramāt sPik-kaTi-pRuśhTha-Uru-jānu-ja~gghā-padeśhu stamBaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandate muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigRuhNana [supression/holding down of thighs], jānusaṁdhi-sPuraNam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaTisaṁdhi-sPuraNam [twitching sensation in waist], kaTisaṁdhi-stabdhatā [stiffness of lowback], Urusaṁdhi-sPuraNam [twitching sensation in thigh], Urusaṁdhi-stabdhatā [stiffness in thigh], todaḥ [pricking pain], deha-pravakratā [bending/flexion of the body]",Ca.Su.20/11; Ca.Ci.28/56-57; Su.Ni.1/74; Ah.Ni.15/54; Ma.Ni.22/54-56; Sha.Pu.7/108; Bp.Ma.23/129-130,1
10464,54,AAB-38,घ्राणनाशः/नासाहुण्डनम् (कॆवलवात),ghrāṇanāśaḥ/nāsāhuṇḍanam (kevalavāta),ghrANanASaH/nAsAhuNDanam (kEvalavAta),16,0,anosmia (due only to vātadōṣha),,Ca.Su.20/11; Ca.Ci.28/22,1
10465,55,AAB-39,जानुभेदः (कॆवलवात),jānubhedaḥ (kevalavāta),jAnuBedaH (kEvalavAta),16,0,breaking pain of knees (due only to vātadōṣha),,Ca.Su.20/11,1
10466,56,AAB-40,जानुविश्लेषः (कॆवलवात),jānuviśleṣaḥ (kevalavāta),jAnuviSleShaH (kEvalavAta),16,0,lax knee (due only to vātadōṣha),,Ca.Su.20/11,1
10467,57,AAB-41,जृम्भा (कॆवलवात),jṛmbhā (kevalavāta),jRumBA (kEvalavAta),16,0,morbid yawning/oscitation (due only to vātadōṣha),,Ca.Su.20/11,1
10468,58,AAB-42,तमः (कॆवलवात),tamaḥ (kevalavāta),tamaH (kEvalavAta),16,0,fainting/syncope (due only to vātadōṣha),,Ca.Su.20/11,1
10469,60,AAB-43,तिमिरः (कॆवलवात),timiraḥ (kevalavāta),timiraH (kEvalavAta),16,0,partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to vātadōṣha),,Ca.Su.20/11,1
10470,61,AAB-44,त्वक्शून्यता (कॆवलवात),tvakśūnyatā (kevalavāta),tvakSUnyatA (kEvalavAta),16,0,hypoesthesia (due only to vātadōṣha),,Bp.Ma.23/58,1
10471,62,AAB-45,तोदः (कॆवलवात),todaḥ (kevalavāta),todaH (kEvalavAta),16,0,pricking pain (due only to vātadōṣha),,Bp.Ma.23/218,1
10472,63,AAB-46,दण्डकः (कॆवलवात),daṇḍakaḥ (kevalavāta),daNDakaH (kEvalavAta),16,0,tonic convulsion (due only to vātadōṣha),,Ca.Su.20/11,1
10473,64,AAB-47,दन्तभेदः (कॆवलवात),dantabhedaḥ (kevalavāta),dantaBedaH (kEvalavAta),16,0,odontalgia/tooth fracture (due only to vātadōṣha),,Ca.Su.20/11,1
10474,65,AAB-48,दन्तशैथिल्यम् (कॆवलवात),dantaśaithilyam (kevalavāta),dantaSaithilyam (kEvalavAta),16,0,tooth mobility (due only to vātadōṣha),,Ca.Su.20/11,1
10475,66,AAB-49,नखभेदः (कॆवलवात),nakhabhedaḥ (kevalavāta),nakhaBedaH (kEvalavAta),16,0,brittle nail (due only to vātadōṣha),,Ca.Su.20/11,1
10476,67,AAB-50,ह्रस्वकेशः (कॆवलवात),hrasvakeśaḥ (kevalavāta),hrasvakeSaH (kEvalavAta),16,0,short hair (due only to vātadōṣha),,Bp.Ma.23/216,1
10477,68,AAB-51,निरामवातः,nirāmavātaḥ,nirAmavAtaH,16,0,vitiation of vāta without association of āma (undigested material),,Ah.Ni.16/30,1
10478,69,AAB-52,पक्षाघातः/पक्षवधः (कॆवलवात),pakṣāghātaḥ/pakṣavadhaḥ (kevalavāta),pakShAghAtaH/pakShavadhaH (kEvalavAta),16,0,hemiplegia/hemiparesis (due only to vātadōṣha),,Ca.Su.20/11; Su.Ni.1/60-62,1
10479,70,AAB-53,पाङ्गुल्यम् (कॆवलवात),pāṅgulyam (kevalavāta),pA~ggulyam (kEvalavAta),16,0,limping (due only to vātadōṣha),,Ca.Su.20/11; Su.Ni.1/77,1
10480,71,AAB-54,पादभ्रंशः (कॆवलवात),pādabhraṃśaḥ (kevalavāta),pAdaBraMSaH (kEvalavAta),16,0,foot drop (due only to vātadōṣha),,Ca.Su.20/11,1
10481,72,AAB-55,पादशूलः (कॆवलवात),pādaśūlaḥ (kevalavāta),pAdaSUlaH (kEvalavAta),16,0,leg pain (due only to vātadōṣha),,Ca.Su.20/11,1
10482,73,AAB-56,पादसुप्तता (कॆवलवात),pādasuptatā (kevalavāta),pAdasuptatA (kEvalavAta),16,0,numbness of foot (due only to vātadōṣha),,Ca.Su.20/11,1
10483,74,AAB-57,पारुष्यम् (कॆवलवात),pāruṣyam (kevalavāta),pAruShyam (kEvalavAta),16,0,roughness (due only to vātadōṣha),,Ca.Su.20/11,1
10484,75,AAB-58,पार्श्वावमर्दः (कॆवलवात),pārśvāvamardaḥ (kevalavāta),pArSvAvamardaH (kEvalavAta),16,0,flank pain (due only to vātadōṣha),,Ca.Su.20/11,1
10485,76,AAB-59,पिण्डिकोद्वेष्टनम् (कॆवलवात),piṇḍikodveṣṭanam (kevalavāta),piNDikodveShTanam (kEvalavAta),16,0,calf muscle cramp (due only to vātadōṣha),,Ca.Su.20/11,1
10486,77,AAB-60,पुरीषातिगाढत्वम् (कॆवलवात),purīṣātigāḍhatvam (kevalavāta),purIShAtigADhatvam (kEvalavAta),16,0,hard stool (due only to vātadōṣha),,Sha.Pu.7/110,1
10487,78,AAB-61,पृष्ठ-ग्रहः (कॆवलवात),pṛṣṭha-grahaḥ (kevalavāta),pRuShTha-grahaH (kEvalavAta),16,0,stiff back (due only to vātadōṣha),,Ca.Su.20/11; Ah.Ni.15/7,1
10488,79,AAB-62,प्रलापकः (कॆवलवात),pralāpakaḥ (kevalavāta),pralApakaH (kEvalavAta),16,0,delirium (due only to vātadōṣha),,Ah.Su.11/6; Sha.Pu.7/112,1
10489,80,AAB-63,बाधिर्यम् (कॆवलवात),bādhiryam (kevalavāta),bAdhiryam (kEvalavAta),16,0,deafness (due only to vātadōṣha),,Ca.Su.20/11;; Ca.Ci.26/127; u.Ni.1/83; Su.U.20/8; Ah.U.17/10; Ma.Ni.57/3; Sha.Pu.kha.7/142; Bp.Ma.64/7,1
10490,81,AAB-64,बाहुशोषः (कॆवलवात),bāhuśoṣaḥ (kevalavāta),bAhuSoShaH (kEvalavAta),16,0,atrophy of arm (due only to vātadōṣha),,Ca.Su.20/11; Sha.Pu.23/71,1
10491,82,AAB-65,बलहानिः (कॆवलवात),balahāniḥ (kevalavāta),balahAniH (kEvalavAta),16,0,weakness (due only to vātadōṣha),,Bp.Ma.23/219,1
10492,83,AAB-66,भेदः (कॆवलवात),bhedaḥ (kevalavāta),BedaH (kEvalavAta),16,0,splitting pain/breaking pain (due only to vātadōṣha),,Bp.Ma.23/218,1
10493,84,AAB-67,भीरुता (कॆवलवात),bhīrutā (kevalavāta),BIrutA (kEvalavAta),16,0,cowardness (due only to vātadōṣha),,Sha.Pu.7/114; Bp.Ma.23/219,1
10494,85,AAB-68,मल-अप्रवृतिः (कॆवलवात),mala-apravṛtiḥ (kevalavāta),mala-apravRutiH (kEvalavAta),16,0,retention of stool (due only to vātadōṣha),,Bp.Ma.23/218,1
10495,86,AAB-69,मूकत्वम् (कॆवलवात),mūkatvam (kevalavāta),mUkatvam (kEvalavAta),16,0,dumbness/aphasia (due only to vātadōṣha),,Ca.Su.20/11; Su.Ni.1/85; Sha.Pu.7/111; Ma.Ni.22/65-66; ; Bp.Ma.23/45,1
10496,87,AAB-70,मोहः (कॆवलवात),mohaḥ (kevalavāta),mohaH (kEvalavAta),16,0,unconsciousness (due only to vātadōṣha),,Bp.Ma.23/218,1
10497,88,AAB-71,भ्रमः (कॆवलवात),bhramaḥ (kevalavāta),BramaH (kEvalavAta),16,0,giddiness (due only to vātadōṣha),,Ca.Su.20/11; Ah.Su.11/3,1
10498,89,AAB-72,भ्रूव्युदासः (कॆवलवात),bhrūvyudāsaḥ (kevalavāta),BrUvyudAsaH (kEvalavAta),16,0,twitching eyebrow (due only to vātadōṣha),,Ca.Su.20/11,1
10499,90,AAB-73,मन्यास्तम्भः (कॆवलवात),manyāstambhaḥ (kevalavāta),manyAstamBaH (kEvalavAta),16,0,stiff neck/torticollis/wry neck (due only to vātadōṣha),,Ca.Su.20/11; Ca.Ci.28/45; Su.Ni.1/67; Sha.Pu.7/107; Bp.Ma.23/75,1
10500,91,AAB-74,मुखशोषः (कॆवलवात),mukhaśoṣaḥ (kevalavāta),mukhaSoShaH (kEvalavAta),16,0,xerostomia/dry mouth (due only to vātadōṣha),,Ca.Su.20/11,1
10501,92,AAB-75,मूत्रनिग्रहः (कॆवलवात),mūtranigrahaḥ (kevalavāta),mUtranigrahaH (kEvalavAta),16,0,anuria/uroschesis (due only to vātadōṣha),,Bp.Ma.23/122,1
10502,93,AAB-76,रजोनाशः (कॆवलवात),rajonāśaḥ (kevalavāta),rajonASaH (kEvalavAta),16,0,amenorrhoea (due only to vātadōṣha),,Ca.Ci.28/22; Ma.Ni.22/7; Bp.Ma.23/218,1
10503,94,AAB-77,रौक्ष्यम् (कॆवलवात),raukṣyam (kevalavāta),raukShyam (kEvalavAta),16,0,dryness (due only to vātadōṣha),,Ca.Su.20/11; Bp.Ma.23/217,1
10504,95,AAB-78,लोमहर्षः (कॆवलवात),lomaharṣaḥ (kevalavāta),lomaharShaH (kEvalavAta),16,0,horripilaton (due only to vātadōṣha),,Bp.Ma.23/217,1
10505,96,AAB-79,ललाटभेदः (कॆवलवात),lalāṭabhedaḥ (kevalavāta),lalATaBedaH (kEvalavAta),16,0,splitting pain of forehead (due only to vātadōṣha),,Ca.Su.20/11; Sha.Pu.7/106; Bp.Ma.23/217,1
10506,97,AAB-80,त्रिकग्रहः (कॆवलवात),trikagrahaḥ (kevalavāta),trikagrahaH (kEvalavAta),16,0,sacroiliac joint stiffness (due only to vātadōṣha),,Ca.Su.20/11,1
10507,98,AAB-81,वर्त्मस्तम्भः (कॆवलवात),vartmastambhaḥ (kevalavāta),vartmastamBaH (kEvalavAta),16,0,ptosis/stiff eyelid (due only to vātadōṣha),,Ca.Su.20/11,1
10508,99,AAB-82,वर्त्मसङ्कोचः (कॆवलवात),vartmasaṅkocaḥ (kevalavāta),vartmasa~gkocaH (kEvalavAta),16,0,entropion/contraction of eyelid (due only to vātadōṣha),,Ca.Su.20/11,1
10509,100,AAB-83,वक्षोपरोधः (कॆवलवात),vakṣoparodhaḥ (kevalavāta),vakShoparodhaH (kEvalavAta),16,0,impaired thoracic movement (due only to vātadōṣha),,Ca.Su.20/11,1
10510,101,AAB-84,वक्षस्तोदः (कॆवलवात),vakṣastodaḥ (kevalavāta),vakShastodaH (kEvalavAta),16,0,chest pain (due only to vātadōṣha),,Ca.Su.20/11,1
10511,102,AAB-85,वाक्-सङ्गः (कॆवलवात),vāk-saṅgaḥ (kevalavāta),vAk-sa~ggaH (kEvalavAta),16,0,lalling speech (due only to vātadōṣha),,Ca.Su.20/11; Sha.Pu.7/106,1
10512,103,AAB-86,वाचालता (कॆवलवात),vācālatā (kevalavāta),vAcAlatA (kEvalavAta),16,0,talkativeness (due only to vātadōṣha),,Bp.Ma.23/216,1
