Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Name_English,Name_English_Under_Index
11,10,AAA-2.3,udAnavAtakopaH,udānavātakōpaḥ,उदानवातकोपः,-,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck]",-,vitiated udānavāyu,-
12,11,AAA-2.4,vyAnavAtakopaH,vyānavātakōpaḥ,व्यानवातकोपः,-,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body]",-,vitiated vyānavāyu,-
13,12,AAA-2.5,samAnavAtakopaH,samānavātakōpaḥ,समानवातकोपः,-,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya]",-,vitiated samānavāyu,-
14,13,AAA-2.6,apAnavAtakopaH,apānavātakōpaḥ,अपानवातकोपः,-,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]",-,vitiated apānavāyu,-
15,14,AAA-3,vAtaprasaraNam,(a) vātaprasaraḥ,वातप्रसरणम्,-,"It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body.",-,Spreading of vata pattern (TM2),-
16,15,AAA-4,vAtakShayaH,(a) vātakṣayaḥ,वातक्षयः,-,"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",-,Depletion of vata pattern (TM2),-
17,16,AAB,nAnAtmajavAtavikAraH,nānātmajavātavikāraḥ,नानात्मजवातविकारः,-,-,-,diseases due only to vitiated vāta,-
18,17,AAB-1,atipralApaH (kEvalavAta),(a) atipralāpaḥ                       (a) pralāpakaḥ,अतिप्रलापः (केवलवात),-,"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.",-,Delirium disorder (TM2),-
19,18,AAB-2,anavasthitacittatvam (kEvalavAta),(a) anavasthitacittatvam,अनवस्थितचित्तत्वम् (केवलवात),-,"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",-,"Lack of concentration, confusion disorder (TM2)",-
20,19,AAB-3,a~ggamardaH (kEvalavAta),(a) aṅgamardaḥ,अङ्गमर्दः (केवलवात),-,-,-,Generalized body ache disorder (TM2) ⇒,-
21,20,AAB-4,a~ggaSuShkatA (kEvalavAta),(a) aṅgaśuṣkatā,अङ्गशुष्कता (केवलवात),-,-,-,Wasting of body part(s) disorder (TM2) ⇒,-
22,21,AAB-5,a~ggaviBraMSaH (kEvalavAta),(a) aṅgavibhraṁśaḥ,अङ्गविभ्रंशः (केवलवात),-,"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.",-,Atony disorder (TM2),-
23,22,AAB-6,arditaH (kEvalavAta),arditaḥ (kēvalavāta),अर्दितः (केवलवात),-,-,-,facial paralysis (due only to vātadōṣa),-
24,23,AAB-7,arasaj~jatA (kEvalavAta),(a) arasajñatā,अरसज्ञता (केवलवात),-,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",-,Ageusia disorder (TM2),-
25,23,AAB-7,arasaj~jatA (kEvalavAta),(a) arasajñatā,अरसज्ञता (केवलवात),-,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",-,Ageusia disorder (TM2),-
26,24,AAB-8,aSabdaSravaNam (kEvalavAta),aśabdaśravaṇam (kēvalavāta),अशब्दश्रवणम् (केवलवात),-,-,-,tinnitus (due only to vātadōṣa),-
27,25,AAB-9,asvapnaH (kEvalavAta),asvapnaḥ (kēvalavāta),अस्वप्नः (केवलवात),-,-,-,insomnia (due only to vātadōṣa),-
28,26,AAB-10,akShiBedaH (kEvalavAta),akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),-,-,-,tearing pain of eye (due only to vātadōṣa),-
29,27,AAB-11,akShivyudAsaH (kEvalavAta),akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),-,-,-,ptosis of eye ball (due only to vātadōṣa),-
30,28,AAB-12,akShiSUlaH (kEvalavAta),akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),-,-,-,piercing type of eye pain (due only to vātadōṣa),-
31,29,AAB-13,ATopaH (kEvalavAta),āṭōpaḥ (kēvalavāta),आटोपः (केवलवात),-,-,-,borborygmus (due only to vātadōṣa),-
32,30,AAB-14,AkShepakaH (kEvalavAta),ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),-,-,-,clonic convulsion (due only to vātadōṣa),-
33,31,AAB-15,uccaiHSrutiH (kEvalavAta),(a) uccaiḥśrutiḥ,उच्चैःश्रुतिः (केवलवात),-,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",-,Dysacousia disorder (TM2),-
34,31,AAB-15,uccaiHSrutiH (kEvalavAta),(a) uccaiḥśrutiḥ,उच्चैःश्रुतिः (केवलवात),-,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",-,Dysacousia disorder (TM2),-
35,32,AAB-16,udarAveShTaH (kEvalavAta),udarāvēṣṭaḥ (kēvalavāta),उदरावेष्टः (केवलवात),-,-,-,feeling of abdomen as if enveloped by a cloth (due only to vātadōṣa),-
36,33,AAB-17,udAvartaH (kEvalavAta),udāvartaḥ (kēvalavāta),उदावर्तः (केवलवात),-,-,-,obstipation (due only to vātadōṣa),-
37,34,AAB-18,UrustamBaH/ADhyavAtaH (kEvalavAta),ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ऊरुस्तम्भः/आढ्यवातः (केवलवात),-,-,-,stiff thigh (due only to vātadōṣa),-
38,35,AAB-19,UrusAdaH (kEvalavAta),ūrusādaḥ (kēvalavāta),ऊरुसादः (केवलवात),-,-,-,thigh fatigue (due only to vātadōṣa),-
39,36,AAB-20,ekA~ggarogaH (kEvalavAta),ēkāṅgarōgaḥ (kēvalavāta),एकाङ्गरोगः (केवलवात),-,-,-,monoplegia (due only to vātadōṣa),-
40,37,AAB-21,oShThaBedaH (kEvalavAta),ōṣṭhabhēdaḥ (kēvalavāta),ओष्ठभेदः (केवलवात),-,-,-,cleft lip (due only to vātadōṣa),-
41,38,AAB-22,kaNThodhvaMsaH (kEvalavAta),(a) kaṇṭhodhvaṃsaḥ,कण्ठोध्वंसः (केवलवात),-,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",-,Hoarseness of voice disorder (TM2),-
42,38,AAB-22,kaNThodhvaMsaH (kEvalavAta),(a) kaṇṭhodhvaṃsaḥ,कण्ठोध्वंसः (केवलवात),-,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",-,Hoarseness of voice disorder (TM2),-
43,39,AAB-23,karNaSUlaH (kEvalavAta),karṇaśūlaḥ (kēvalavāta),कर्णशूलः (केवलवात),-,-,-,earache/otalgia (due only to vātadōṣa),-
44,40,AAB-24,kampaH/vepathuH (kEvalavAta),kampaḥ/vēpathuḥ (kēvalavāta),कम्पः/वेपथुः (केवलवात),-,-,-,tremor (due only to vātadōṣa),-
45,41,AAB-25,kaShAyAsyatA (kEvalavAta),(a) kaṣāyāsyatā,कषायास्यता (केवलवात),-,-,-,Feeling of astringent taste disorder (TM2) ⇒,-
46,42,AAB-26,klamaH (kEvalavAta),(a) klamaḥ,क्लमः (केवलवात),-,"It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas.",-,Severe fatigue disorder (TM2),-
47,43,AAB-27,kArShNyam (kEvalavAta),(a) kārṣṇyam,कार्ष्ण्यम् (केवलवात),-,It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha.,-,Discoloration of body disorder (TM2),-
48,44,AAB-28,kubjatvam (kEvalavAta),kubjatvam (kēvalavāta),कुब्जत्वम् (केवलवात),-,-,-,kyphosis/captocormia (due only to vātadōṣa),-
49,45,AAB-29,kArSyam (kEvalavAta),(a) kārśyam,कार्श्यम् (केवलवात),-,"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta.",-,Emaciation disorder (TM2),-
50,46,AAB-30,keSaBUmisPuTanam (kEvalavAta),(a) keśabhūmisphuṭanam,केशभूमिस्फुटनम् (केवलवात),-,It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.,-,Scaling of scalp and forehead skin disorder (TM2),-
51,47,AAB-31,kha~jjaH/kha~jjatvam (kEvalavAta),khañjaḥ/khañjatvam (kēvalavāta),खञ्जः/खञ्जत्वम् (केवलवात),-,-,-,lameness (unilateral) (due only to vātadōṣa),-
52,48,AAB-32,garBanASaH (kEvalavAta),garbhanāśaḥ (kēvalavāta),गर्भनाशः (केवलवात),-,-,-,foetal distress/foetal death (due only to vātadōṣa),-
53,49,AAB-33,grIvAstamBaH (kEvalavAta),(a) grīvāstambhaḥ,ग्रीवास्तम्भः (केवलवात),-,"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles.",-,Cervical spondylosis disorder (TM2),-
54,50,AAB-34,gudaBraMSaH (kEvalavAta),gudabhraṁśaḥ (kēvalavāta),गुदभ्रंशः (केवलवात),-,-,-,rectal prolapse (due only to vātadōṣa),-
55,51,AAB-35,gudArtiH (kEvalavAta),(a) gudārtiḥ,गुदार्तिः (केवलवात),-,It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region.,-,Proctalgia disorder (TM2),-
56,52,AAB-36,gulPa-grahaH (kEvalavAta),(a) gulpha-grahaḥ,गुल्फ-ग्रहः (केवलवात),-,-,-,Stiff ankle disorder (TM2) ⇒,-
57,53,AAB-37,gRudhrasI (kEvalavAta),gr̥dhrasī (kēvalavāta),गृध्रसी (केवलवात),-,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body]",-,sciatia (due only to vātadōṣa),-
58,54,AAB-38,ghrANanASaH/nAsAhuNDanam (kEvalavAta),(a) ghrāṇanāśaḥ,घ्राणनाशः/नासाहुण्डनम् (केवलवात),-,"It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages",-,Anosmia disorder (TM2),-
59,55,AAB-39,jAnuBedaH (kEvalavAta),(a) jānubhedaḥ,जानुभेदः (केवलवात),-,-,-,Breaking pain of knees disorder (TM2) ⇒,-
60,56,AAB-40,jAnuviSleShaH (kEvalavAta),(a) jānuviśleṣaḥ,जानुविश्लेषः (केवलवात),-,-,-,Lax knee disorder (TM2) ⇒,-
61,57,AAB-41,jRumBA (kEvalavAta),(a) jr̥mbhā,जृम्भा (केवलवात),-,It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha.,-,Excessive yawning disorder (TM2),-
62,58,AAB-42,tamaH (kEvalavAta),(a) tamaḥ,तमः (केवलवात),-,-,-,Fainting disorder due to Vata (TM2) ⇒,-
63,60,AAB-43,timiraH (kEvalavAta),timiraḥ (kēvalavāta),तिमिरः (केवलवात),-,-,-,partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to vātadōṣa),-
64,61,AAB-44,tvakSUnyatA (kEvalavAta),(a) prasuptiḥ                              (a) tvakśūnyatā,त्वक्शून्यता (केवलवात),-,-,-,Hypoesthesia disorder (TM2) ⇒,-
65,62,AAB-45,todaH (kEvalavAta),(a) todaḥ,तोदः (केवलवात),-,-,-,Pricking pain disorder (TM2) ⇒,-
66,63,AAB-46,daNDakaH (kEvalavAta),(a) daṇḍakaḥ,दण्डकः (केवलवात),-,-,-,Whole body stiffness with immobility disorder (TM2) ⇒,-
67,64,AAB-47,dantaBedaH (kEvalavAta),dantabhēdaḥ (kēvalavāta),दन्तभेदः (केवलवात),-,-,-,odontalgia/tooth fracture (due only to vātadōṣa),-
68,65,AAB-48,dantaSaithilyam (kEvalavAta),(a) dantaśaithilyam,दन्तशैथिल्यम् (केवलवात),-,-,-,Loose tooth disorder (TM2) ⇒,-
69,66,AAB-49,nakhaBedaH (kEvalavAta),(a) nakhabhedaḥ,नखभेदः (केवलवात),-,"It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.",-,Brittle nails disorder (TM2),-
70,67,AAB-50,hrasvakeSaH (kEvalavAta),(a) hrasvakeśaḥ,ह्रस्वकेशः (केवलवात),-,-,-,Short hair disorder (TM2) ⇒,-
71,68,AAB-51,nirAmavAtaH,nirāmavātaḥ,निरामवातः,-,-,-,vitiation of vāta without association of āma (undigested material),-
72,69,AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),पक्षाघातः/पक्षवधः (केवलवात),-,-,-,hemiplegia/hemiparesis (due only to vātadōṣa),-
73,70,AAB-53,pA~ggulyam (kEvalavAta),(a) pāṅgulyam,पाङ्गुल्यम् (केवलवात),-,-,-,lameness (bilateral) / lower limb paralysis (TM2),-
74,71,AAB-54,pAdaBraMSaH (kEvalavAta),(a) pādabhraṃśaḥ,पादभ्रंशः (केवलवात),-,-,-,Foot drop disorder (TM2) ⇒,-
75,72,AAB-55,pAdaSUlaH (kEvalavAta),(a) pādaśūlaḥ,पादशूलः (केवलवात),-,-,-,Leg pain disorder (TM2) ⇒,-
76,73,AAB-56,pAdasuptatA (kEvalavAta),(a) pādasuptatā,पादसुप्तता (केवलवात),-,-,-,Numbness of foot disorder (TM2) ⇒,-
77,74,AAB-57,pAruShyam (kEvalavAta),(a) pāruṣyam,पारुष्यम् (केवलवात),-,It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha.,-,Roughness of skin disorder (TM2),-
78,75,AAB-58,pArSvAvamardaH (kEvalavAta),pārśvāvamardaḥ (kēvalavāta),पार्श्वावमर्दः (केवलवात),-,-,-,flank pain (due only to vātadōṣa),-
79,76,AAB-59,piNDikodveShTanam (kEvalavAta),(a) piṇḍikodveṣṭanam,पिण्डिकोद्वेष्टनम् (केवलवात),-,-,-,Calf muscle cramp disorder (TM2) ⇒,-
80,77,AAB-60,purIShAtigADhatvam (kEvalavAta),purīṣātigāḍhatvam (kēvalavāta),पुरीषातिगाढत्वम् (केवलवात),-,-,-,hard stool (due only to vātadōṣa),-
81,78,AAB-61,pRuShTha-grahaH (kEvalavAta),(a) pṛṣṭha-grahaḥ,पृष्ठ-ग्रहः (केवलवात),-,"It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue.",-,Lumbar spondylosis disorder (TM2),-
82,79,AAB-62,pralApakaH (kEvalavAta),pralāpakaḥ (kēvalavāta),प्रलापकः (केवलवात),-,-,-,delirium (due only to vātadōṣa),-
83,80,AAB-63,bAdhiryam (kEvalavAta),bādhiryam (kēvalavāta),बाधिर्यम् (केवलवात),-,-,-,deafness (due only to vātadōṣa),-
84,81,AAB-64,bAhuSoShaH (kEvalavAta),(a) bāhuśoṣaḥ,बाहुशोषः (केवलवात),-,-,-,Atrophy of arm disorder (TM2) ⇒,-
85,82,AAB-65,balahAniH (kEvalavAta),(a) balahāniḥ,बलहानिः (केवलवात),-,-,-,Weakness disorder (TM2) ⇒,-
86,83,AAB-66,BedaH (kEvalavAta),(a) bhedaḥ,भेदः (केवलवात),-,-,-,Splitting pain disorder (TM2) ⇒,-
87,84,AAB-67,BIrutA (kEvalavAta),,भीरुता (केवलवात),-,-,-,cowardness (due only to vātadōṣa),-
88,85,AAB-68,mala-apravRutiH (kEvalavAta),(a) mala-apravṛtiḥ,मल-अप्रवृतिः (केवलवात),-,-,-,Retention of stool disorder (TM2) ⇒,-
89,86,AAB-69,mUkatvam (kEvalavAta),mūkatvam (kēvalavāta),मूकत्वम् (केवलवात),-,-,-,dumbness/aphasia (due only to vātadōṣa),-
90,87,AAB-70,mohaH (kEvalavAta),mōhaḥ (kēvalavāta),मोहः (केवलवात),-,-,-,unconsciousness (due only to vātadōṣa),-
91,88,AAB-71,BramaH (kEvalavAta),bhramaḥ (kēvalavāta),भ्रमः (केवलवात),-,-,-,giddiness (due only to vātadōṣa),-
92,89,AAB-72,BrUvyudAsaH (kEvalavAta),(a) bhrūvyudāsaḥ,भ्रूव्युदासः (केवलवात),-,-,-,Twitching eyebrow disorder (TM2) ⇒,-
93,90,AAB-73,manyAstamBaH (kEvalavAta),,मन्यास्तम्भः (केवलवात),-,-,-,stiff neck/torticollis/wry neck (due only to vātadōṣa),-
94,91,AAB-74,mukhaSoShaH (kEvalavAta),(a) mukhaśoṣaḥ,मुखशोषः (केवलवात),-,"It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue.",-,Xerostomia disorder (TM2),-
95,92,AAB-75,mUtranigrahaH (kEvalavAta),(a) mūtranigrahaḥ,मूत्रनिग्रहः (केवलवात),-,"It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha.",-,Retention of urine disorder (TM2),-
96,93,AAB-76,rajonASaH (kEvalavAta),rajōnāśaḥ (kēvalavāta),रजोनाशः (केवलवात),-,-,-,amenorrhoea (due only to vātadōṣa),-
97,94,AAB-77,raukShyam (kEvalavAta),(a) raukṣyam,रौक्ष्यम् (केवलवात),-,"It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin",-,Dryness of skin disorder (TM2),-
98,95,AAB-78,lomaharShaH (kEvalavAta),(a) lomaharṣaḥ,लोमहर्षः (केवलवात),-,-,-,Horripilation disorder (TM2) ⇒,-
99,96,AAB-79,lalATaBedaH (kEvalavAta),(a) lalāṭabhedaḥ,ललाटभेदः (केवलवात),-,-,-,Other specified headache disorders (TM2),Splitting pain of forehead disorder (TM2) ⇒
100,97,AAB-80,trikagrahaH (kEvalavAta),(a) trikagrahaḥ,त्रिकग्रहः (केवलवात),-,-,-,Sacroiliac joint stiffness disorder (TM2) ⇒,-
101,98,AAB-81,vartmastamBaH (kEvalavAta),vartmastambhaḥ (kēvalavāta),वर्त्मस्तम्भः (केवलवात),-,-,-,ptosis/stiff eyelid (due only to vātadōṣa),-
102,99,AAB-82,vartmasa~gkocaH (kEvalavAta),(a) vartmasaṅkocaḥ,वर्त्मसङ्कोचः (केवलवात),-,-,-,Entropion disorder (TM2) ⇒,-
103,100,AAB-83,vakShoparodhaH (kEvalavAta),(a) vakṣoparodhaḥ,वक्षोपरोधः (केवलवात),-,-,-,Impaired thoracic mobility disorder (TM2) ⇒,-
104,101,AAB-84,vakShastodaH (kEvalavAta),(a) vakṣastodaḥ,वक्षस्तोदः (केवलवात),-,-,-,Chest pain disorder (TM2) ⇒,-
105,102,AAB-85,vAk-sa~ggaH (kEvalavAta),(a) vāk-saṅgaḥ,वाक्-सङ्गः (केवलवात),-,"It is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. This may be explained by: (a) Aggravagtion of vata affecting kapha and faculty of speech.",-,Stammering disorder (TM2),-
106,103,AAB-86,vAcAlatA (kEvalavAta),(a) vācālatā,वाचालता (केवलवात),-,-,-,Talkativeness disorder (TM2) ⇒,-
107,104,AAB-87,vAtakhuDDatA/vAtakaNTakaH (kEvalavAta),"(a) vātakhuḍḍatā,                    (a) vātakaṇṭakaḥ",वातखुड्डता/वातकण्टकः (केवलवात),-,-,-,Ankle deformity disorder (TM2) ⇒,-
108,105,AAB-88,vAmanatvam (kEvalavAta),(a) vāmanatvam,वामनत्वम् (केवलवात),-,-,-,Dwarfism disorder (TM2) ⇒,-
109,106,AAB-89,viD-BedaH (kEvalavAta),(a) viḍ-bhedaḥ,विड्-भेदः (केवलवात),-,-,-,Diarrhoea disorder due only to Vāta (TM2) ⇒,-
110,107,AAB-90,vipAdikA (nAnAtmaja) (kEvalavAta),vipādikā (nānātmaja) (kēvalavāta),विपादिका (नानात्मज) (केवलवात),-,-,-,cracks in palms and soles (due only to vātadōṣa),-
111,108,AAB-91,viShAdaH/dInatA (kEvalavAta),(a) viṣādaḥ (a) dīnatā,विषादः/दीनता (केवलवात),-,-,-,Transient depression disorder (TM2) ⇒,-
112,109,AAB-92,vRuShaNAkShepaH (kEvalavAta),(a) vṛṣaṇākṣepaḥ,वृषणाक्षेपः (केवलवात),-,-,-,Scrotal pain disorder (TM2) ⇒,-
113,110,AAB-93,va~gkShaNAnAhaH (kEvalavAta),(a) vaṅkṣaṇānāhaḥ,वङ्क्षणानाहः (केवलवात),-,-,-,Distention of inguinal region disorder (TM2) ⇒,-
114,111,AAB-94,vyathA (kEvalavAta),(a) vyathā,व्यथा (केवलवात),-,-,-,Agonising pain disorder (TM2) ⇒,-
115,112,AAB-95,SirAsPUrtiH (kEvalavAta),(a) śirāsphūrtiḥ,शिरास्फूर्तिः (केवलवात),-,-,-,Vasodilatation disorder (TM2) ⇒,-
116,113,AAB-96,Siroruk (kEvalavAta),śirōruk (kēvalavāta),शिरोरुक् (केवलवात),-,-,-,headache/cephalgia/cephalalgia (due only to vātadōṣa),-
117,114,AAB-97,SukrakShayaH (kEvalavAta),(a) śukrakṣayaḥ,शुक्रक्षयः (केवलवात),-,"It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system.",-,Oligospermia disorder (TM2),-
118,115,AAB-98,Sa~gkhaBedaH (kEvalavAta),śaṅkhabhēdaḥ (kēvalavāta),शङ्खभेदः (केवलवात),-,-,-,temporal cephalalgia (due only to vātadōṣa),-
119,116,AAB-99,SePastamBaH (kEvalavAta),(a) śephastambhaḥ,शेफस्तम्भः (केवलवात),-,It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis.,-,Priapism disorder (TM2),-
120,117,AAB-100,Saityam (kEvalavAta),(a) śaityam,शैत्यम् (केवलवात),-,-,-,Chills disorder only due to Kapha (TM2) ⇒,-
121,119,AAB-101,SyAvAruNAsyatA (kEvalavAta),śyāvāruṇāsyatā (kēvalavāta),श्यावारुणास्यता (केवलवात),-,-,-,dusky-red oral pigmentation (due only to vātadōṣa),-
122,120,AAB-102,SroNiBedaH (kEvalavAta),śrōṇibhēdaḥ (kēvalavāta),श्रोणिभेदः (केवलवात),-,-,-,pelvic pain (due only to vātadōṣa),-
123,121,AAB-103,sa~gkocaH (kEvalavAta),(a) saṅkocaḥ,सङ्कोचः (केवलवात),-,-,-,Contracture disorder (TM2) ⇒,-
124,122,AAB-104,svedanASaH (kEvalavAta),svēdanāśaḥ (kēvalavāta),स्वेदनाशः (केवलवात),-,-,-,anhidrosis/hypohidrosis (due only to vātadōṣa),-
125,123,AAB-105,SramaH (kEvalavAta),(a) śramaḥ,श्रमः (केवलवात),-,-,-,Physical exhaustion disorder (TM2) ⇒,-
126,124,AAB-106,sarvA~ggarogaH/sarvA~ggavAtaH (kEvalavAta),sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),सर्वाङ्गरोगः/सर्वाङ्गवातः (केवलवात),-,-,-,total body paralysis/quadriplegia (due only to vātadōṣa),-
